"year" "number" "freq" "pr"
2004 1 10 0.212765957446809
2005 1 6 0.115384615384615
2006 1 8 0.153846153846154
2007 1 4 0.0769230769230769
2008 1 3 0.0576923076923077
2009 1 0 0
2010 1 7 0.132075471698113
2011 1 9 0.104651162790698
2012 1 13 0.125
2013 1 12 0.114285714285714
2014 1 7 0.0958904109589041
2004 2 3 0.0638297872340425
2005 2 4 0.0769230769230769
2006 2 4 0.0769230769230769
2007 2 6 0.115384615384615
2008 2 7 0.134615384615385
2009 2 3 0.0576923076923077
2010 2 5 0.0943396226415094
2011 2 7 0.0813953488372093
2012 2 7 0.0673076923076923
2013 2 8 0.0761904761904762
2014 2 5 0.0684931506849315
2004 3 5 0.106382978723404
2005 3 9 0.173076923076923
2006 3 8 0.153846153846154
2007 3 6 0.115384615384615
2008 3 3 0.0576923076923077
2009 3 1 0.0192307692307692
2010 3 5 0.0943396226415094
2011 3 5 0.0581395348837209
2012 3 13 0.125
2013 3 7 0.0666666666666667
2014 3 7 0.0958904109589041
2004 4 8 0.170212765957447
2005 4 4 0.0769230769230769
2006 4 5 0.0961538461538462
2007 4 4 0.0769230769230769
2008 4 6 0.115384615384615
2009 4 8 0.153846153846154
2010 4 10 0.188679245283019
2011 4 9 0.104651162790698
2012 4 12 0.115384615384615
2013 4 13 0.123809523809524
2014 4 10 0.136986301369863
2004 5 4 0.0851063829787234
2005 5 1 0.0192307692307692
2006 5 8 0.153846153846154
2007 5 6 0.115384615384615
2008 5 5 0.0961538461538462
2009 5 8 0.153846153846154
2010 5 4 0.0754716981132075
2011 5 7 0.0813953488372093
2012 5 8 0.0769230769230769
2013 5 12 0.114285714285714
2014 5 11 0.150684931506849
2004 6 5 0.106382978723404
2005 6 8 0.153846153846154
2006 6 6 0.115384615384615
2007 6 3 0.0576923076923077
2008 6 4 0.0769230769230769
2009 6 7 0.134615384615385
2010 6 4 0.0754716981132075
2011 6 8 0.0930232558139535
2012 6 11 0.105769230769231
2013 6 11 0.104761904761905
2014 6 3 0.0410958904109589
2004 7 5 0.106382978723404
2005 7 5 0.0961538461538462
2006 7 4 0.0769230769230769
2007 7 7 0.134615384615385
2008 7 9 0.173076923076923
2009 7 4 0.0769230769230769
2010 7 5 0.0943396226415094
2011 7 5 0.0581395348837209
2012 7 8 0.0769230769230769
2013 7 12 0.114285714285714
2014 7 8 0.10958904109589
2004 8 4 0.0851063829787234
2005 8 7 0.134615384615385
2006 8 8 0.153846153846154
2007 8 4 0.0769230769230769
2008 8 6 0.115384615384615
2009 8 5 0.0961538461538462
2010 8 4 0.0754716981132075
2011 8 4 0.0465116279069767
2012 8 8 0.0769230769230769
2013 8 7 0.0666666666666667
2014 8 7 0.0958904109589041
2004 9 4 0.0851063829787234
2005 9 3 0.0576923076923077
2006 9 9 0.173076923076923
2007 9 5 0.0961538461538462
2008 9 8 0.153846153846154
2009 9 7 0.134615384615385
2010 9 9 0.169811320754717
2011 9 6 0.0697674418604651
2012 9 8 0.0769230769230769
2013 9 6 0.0571428571428571
2014 9 3 0.0410958904109589
2004 10 8 0.170212765957447
2005 10 4 0.0769230769230769
2006 10 7 0.134615384615385
2007 10 3 0.0576923076923077
2008 10 5 0.0961538461538462
2009 10 2 0.0384615384615385
2010 10 2 0.0377358490566038
2011 10 6 0.0697674418604651
2012 10 19 0.182692307692308
2013 10 12 0.114285714285714
2014 10 6 0.0821917808219178
2004 11 4 0.0851063829787234
2005 11 11 0.211538461538462
2006 11 4 0.0769230769230769
2007 11 5 0.0961538461538462
2008 11 6 0.115384615384615
2009 11 4 0.0769230769230769
2010 11 5 0.0943396226415094
2011 11 11 0.127906976744186
2012 11 13 0.125
2013 11 14 0.133333333333333
2014 11 5 0.0684931506849315
2004 12 6 0.127659574468085
2005 12 8 0.153846153846154
2006 12 9 0.173076923076923
2007 12 3 0.0576923076923077
