"year" "number" "freq" "pr"
2004 1 10 0.212765957446809
2005 1 17 0.326923076923077
2006 1 13 0.25
2007 1 12 0.230769230769231
2008 1 10 0.192307692307692
2009 1 11 0.211538461538462
2010 1 11 0.207547169811321
2011 1 14 0.162790697674419
2012 1 14 0.134615384615385
2013 1 18 0.171428571428571
2014 1 15 0.205479452054795
2004 2 12 0.25531914893617
2005 2 5 0.0961538461538462
2006 2 12 0.230769230769231
2007 2 11 0.211538461538462
2008 2 9 0.173076923076923
2009 2 12 0.230769230769231
2010 2 8 0.150943396226415
2011 2 21 0.244186046511628
2012 2 27 0.259615384615385
2013 2 24 0.228571428571429
2014 2 12 0.164383561643836
2004 3 8 0.170212765957447
2005 3 14 0.269230769230769
2006 3 15 0.288461538461538
2007 3 13 0.25
2008 3 11 0.211538461538462
2009 3 15 0.288461538461538
2010 3 14 0.264150943396226
2011 3 17 0.197674418604651
2012 3 21 0.201923076923077
2013 3 16 0.152380952380952
2014 3 10 0.136986301369863
2004 4 7 0.148936170212766
2005 4 11 0.211538461538462
2006 4 8 0.153846153846154
2007 4 7 0.134615384615385
2008 4 14 0.269230769230769
2009 4 10 0.192307692307692
2010 4 12 0.226415094339623
2011 4 14 0.162790697674419
2012 4 14 0.134615384615385
2013 4 22 0.20952380952381
2014 4 11 0.150684931506849
2004 5 15 0.319148936170213
2005 5 10 0.192307692307692
2006 5 12 0.230769230769231
2007 5 11 0.211538461538462
2008 5 14 0.269230769230769
2009 5 15 0.288461538461538
2010 5 8 0.150943396226415
2011 5 20 0.232558139534884
2012 5 18 0.173076923076923
2013 5 23 0.219047619047619
2014 5 13 0.178082191780822
2004 6 13 0.276595744680851
2005 6 12 0.230769230769231
2006 6 13 0.25
2007 6 14 0.269230769230769
2008 6 10 0.192307692307692
2009 6 14 0.269230769230769
2010 6 9 0.169811320754717
2011 6 9 0.104651162790698
2012 6 14 0.134615384615385
2013 6 18 0.171428571428571
2014 6 9 0.123287671232877
2004 7 8 0.170212765957447
2005 7 14 0.269230769230769
2006 7 13 0.25
2007 7 11 0.211538461538462
2008 7 14 0.269230769230769
2009 7 6 0.115384615384615
2010 7 18 0.339622641509434
2011 7 17 0.197674418604651
2012 7 15 0.144230769230769
2013 7 17 0.161904761904762
2014 7 15 0.205479452054795
2004 8 10 0.212765957446809
2005 8 10 0.192307692307692
2006 8 10 0.192307692307692
2007 8 14 0.269230769230769
2008 8 13 0.25
2009 8 9 0.173076923076923
2010 8 13 0.245283018867925
2011 8 20 0.232558139534884
2012 8 22 0.211538461538462
2013 8 12 0.114285714285714
2014 8 15 0.205479452054795
2004 9 11 0.234042553191489
2005 9 11 0.211538461538462
2006 9 8 0.153846153846154
2007 9 11 0.211538461538462
2008 9 9 0.173076923076923
2009 9 12 0.230769230769231
2010 9 13 0.245283018867925
2011 9 16 0.186046511627907
2012 9 22 0.211538461538462
2013 9 21 0.2
2014 9 15 0.205479452054795
2004 10 0 0
2005 10 0 0
2006 10 0 0
2007 10 0 0
2008 10 0 0
2009 10 0 0
2010 10 0 0
2011 10 11 0.127906976744186
2012 10 22 0.211538461538462
2013 10 21 0.2
2014 10 15 0.205479452054795
2004 11 0 0
2005 11 0 0
2006 11 0 0
2007 11 0 0
2008 11 0 0
2009 11 0 0
2010 11 0 0
2011 11 13 0.151162790697674
2012 11 19 0.182692307692308
2013 11 18 0.171428571428571
2014 11 16 0.219178082191781
